Sector 1;grijs;300;1
Sector 1;rood;533;1
Sector 1;blauw;567;1
Sector 1;groen;633;1
Sector 1;wit;500;2
Sector 1;oranje;567;2
Sector 1;geel;600;2
Sector 1;paars;667;2
Sector 1;zwart;700;2
Sector 1;blauw;500;3
Sector 1;groen;600;3
Sector 1;mint;633;3
Sector 1;fluo roos;733;3
Sector 1;geel;467;4
Sector 1;wit;667;4
sector 2;blauw;467;5
sector 2;oranje;533;5
sector 2;paars;567;5
sector 2;zwart;600;5
sector 2;groen;500;6
sector 2;geel;533;6
sector 2;wit;600;6
sector 2;rood;700;6
sector 2;zwart;567;7
sector 2;oranje;633;7
sector 2;paars;667;7
sector 2;wit;533;8
sector 2;groen;600;8
sector 2;blauw;633;8
sector 2;rood;433;9
sector 2;geel;567;9
sector 2;zwart;500;9
sector 2;oranje;600;10
Sector 3;wit;667;10
Sector 3;paars;700;10
Sector 3;fluo roos;733;10
Sector 3;geel;633;11
Sector 3;mint;700;11
Sector 3;blauw;733;11
Sector 3;zwart;567;12
Sector 3;groen;667;12
Sector 3;paars;533;13
Sector 3;wit;600;13
Sector 3;oranje;633;13
Sector 4;groen;600;14
Sector 4;rood;667;14
Sector 4;geel;700;14
Sector 4;zwart;733;14
Sector 4;blauw;767;14
Sector 4;mint;800;14
Sector 4;fluo roos;800;14
Sector 4;paars;633;15
Sector 4;wit;700;15
Sector 4;oranje;733;15
Sector 4;geel;667;16
Sector 4;groen;700;16
Sector 4;zwart;733;16
Sector 4;blauw;767;16
Sector 4;mint;800;16
Sector 4;fluo roos;833;16
Sector 5;zwart;567;17
Sector 5;paars;633;17
Sector 5;groen;700;17
Sector 5;rood;733;17
Sector 5;geel;767;17
Sector 5;blauw;600;18
Sector 5;wit;667;18
Sector 5;oranje;700;18
Sector 5;zwart;733;19
Sector 5;paars;567;19
Sector 5;geel;700;19
Sector 5;groen;767;19
Sector 5;fluo roos;800;19
Sector 6;oranje;500;20
Sector 6;groen;533;20
Sector 6;wit;667;20
Sector 6;geel;600;21
Sector 6;rood;667;21
Sector 6;blauw;700;21
Sector 6;zwart;767;21
Sector 6;mint;567;23
Sector 6;wit;600;22
Sector 6;groen;633;22
Sector 6;oranje;500;23
Sector 6;blauw;533;24
Sector 6;rood;633;24
Sector 6;geel;700;24
Sector 6;wit;433;25
Sector 6;zwart;567;25
Sector 6;paars;667;25
Sector 6;groen;667;25
Sector 6;blauw;567;26
Sector 7;rood;500;26
Sector 7;geel;600;26
Sector 7;wit;533;27
Sector 7;oranje;600;27
Sector 7;zwart;633;27
Sector 7;groen;733;27
Sector 7;geel;533;28
Sector 7;rood;600;28
Sector 7;paars;667;28
Sector 7;blauw;700;28
Sector 7;oranje;500;29
Sector 7;groen;567;29
Sector 7;wit;633;29
Sector 7;zwart;667;29
Sector 7;rood;433;30
Sector 7;blauw;500;30
Sector 7;geel;533;30
Sector 3;roos;400;31
Sector 5;grijs;367;32
Sector 6;roos;333;33
